index,component,outcome,coef,se,pvalue,significant
Heritage,heritage_Labor.Freedom,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,-0.011430242448242534,0.01465521882574974,0.4364658340296934,FALSE
Heritage,heritage_Monetary.Freedom,log_GDP_per_capita,0.004461074828062322,7.248894121619578e-4,4.95554285624965e-9,TRUE
Heritage,heritage_Monetary.Freedom,GDP_per_capita_growth,0.0015526455018858689,0.009760601818183933,0.8737939706658222,FALSE
Heritage,heritage_Monetary.Freedom,Gini.index,0.015786585431761525,0.0205307930210322,0.44316473617007845,FALSE
Heritage,heritage_Monetary.Freedom,Poverty.headcount.ratio.at..8.30.a.day..2021.PPP.....of.population.,-0.2479398355930834,0.07750182153439826,0.001686357689124568,TRUE
Heritage,heritage_Monetary.Freedom,Income.share.held.by.lowest.20.,-0.001783922866879537,0.006103846003901525,0.7704955350638227,FALSE
Heritage,heritage_Monetary.Freedom,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,-0.02139486351685975,0.015608981816125926,0.17221151606481472,FALSE
Heritage,heritage_Trade.Freedom,log_GDP_per_capita,0.001743999563573341,9.63099146008631e-4,0.07187398015418467,FALSE
Heritage,heritage_Trade.Freedom,GDP_per_capita_growth,0.004212257682784995,0.010360891136633184,0.6848298120061735,FALSE
Heritage,heritage_Trade.Freedom,Gini.index,-0.02283145931786677,0.0240400715123048,0.34380023720424924,FALSE
Heritage,heritage_Trade.Freedom,Poverty.headcount.ratio.at..8.30.a.day..2021.PPP.....of.population.,-0.15259773827384732,0.0910988151788982,0.09603032043490453,FALSE
Heritage,heritage_Trade.Freedom,Income.share.held.by.lowest.20.,0.0020492550195239994,0.005551218182674753,0.7125404579957586,FALSE
Heritage,heritage_Trade.Freedom,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,-0.03481338498229343,0.013534303662516407,0.010925152025986144,TRUE
Heritage,heritage_Investment.Freedom,log_GDP_per_capita,2.013343642060941e-6,9.060281019913574e-4,0.9982294872887061,FALSE
Heritage,heritage_Investment.Freedom,GDP_per_capita_growth,-0.007836076566161214,0.007693051688452481,0.3097951075192913,FALSE
Heritage,heritage_Investment.Freedom,Gini.index,0.048918818002808395,0.019679856235797853,0.014040768600814478,TRUE
Heritage,heritage_Investment.Freedom,Poverty.headcount.ratio.at..8.30.a.day..2021.PPP.....of.population.,0.21269262066369918,0.04887315469936971,2.5028510987674914e-5,TRUE
Heritage,heritage_Investment.Freedom,Income.share.held.by.lowest.20.,-0.01035660378330984,0.004240729417899262,0.01577732823218665,TRUE
Heritage,heritage_Investment.Freedom,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,0.0037332407856118443,0.010206460695764785,0.7149717494428114,FALSE
Heritage,heritage_Financial.Freedom,log_GDP_per_capita,0.0014501804980164568,0.0010578410038772131,0.1721558133047754,FALSE
Heritage,heritage_Financial.Freedom,GDP_per_capita_growth,-0.027419823570185815,0.010017291532773497,0.006831697622691639,TRUE
Heritage,heritage_Financial.Freedom,Gini.index,0.046317803057308295,0.017340379548388296,0.008406793964572487,TRUE
Heritage,heritage_Financial.Freedom,Poverty.headcount.ratio.at..8.30.a.day..2021.PPP.....of.population.,0.022855249696364332,0.07094527044987059,0.7477911944363224,FALSE
Heritage,heritage_Financial.Freedom,Income.share.held.by.lowest.20.,-0.011260723645295628,0.004020669319491553,0.005780447782788207,TRUE
Heritage,heritage_Financial.Freedom,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,-0.018208464462663432,0.012095571515682153,0.1340081493236438,FALSE
Heritage,heritage_Overall,log_GDP_per_capita,0.012322491239861188,0.0018405829479181028,2.7874997141425945e-10,TRUE
Heritage,heritage_Overall,GDP_per_capita_growth,-0.043965690569870104,0.022855507775952025,0.05601390008594949,FALSE
Heritage,heritage_Overall,Gini.index,0.13572670817104712,0.05005233682743536,0.00748658385702063,TRUE
Heritage,heritage_Overall,Poverty.headcount.ratio.at..8.30.a.day..2021.PPP.....of.population.,-0.2138964008113907,0.17439930646782187,0.2219676511086497,FALSE
Heritage,heritage_Overall,Income.share.held.by.lowest.20.,-0.02912712954443184,0.013417431249398848,0.031537195919271586,TRUE
Heritage,heritage_Overall,Vulnerable.employment..total....of.total.employment...modeled.ILO.estimate.,-0.08019178138341118,0.027483758855293767,0.003982633602779707,TRUE
