ISO3,Year,SWIID_gini_disp
BOL,1994,50.2
BOL,1995,50.9
BOL,1996,51.6
BOL,1997,52.3
BOL,1998,53.1
BOL,1999,53.8
BOL,2000,54.5
BOL,2001,54.3
BOL,2002,54.2
BOL,2003,53.6
BOL,2004,53.1
BOL,2005,52.7
BOL,2006,51.7
BOL,2007,50.3
BOL,2008,48.6
BOL,2009,47.1
BOL,2010,46
BOL,2011,44.9
BOL,2012,44.4
BOL,2013,44.1
BOL,2014,43.7
BOL,2015,43
BOL,2016,42.2
BOL,2017,41.5
BOL,2018,40.5
BOL,2019,39.9
BOL,2020,39.7
BOL,2021,39.1
BOL,2022,39
BOL,2023,39
BOL,2024,38.9
BIH,2001,37.8
BIH,2002,38.1
BIH,2003,38.5
BIH,2004,38.9
BIH,2005,39.1
BIH,2006,39.2
BIH,2007,39.3
BIH,2008,39.2
BIH,2009,39.1
BIH,2010,39
BIH,2011,38.9
BIH,2012,38.8
BIH,2013,38.7
BIH,2014,38.6
BIH,2015,38.5
BIH,2016,38.4
BIH,2017,38.4
BIH,2018,38.4
BIH,2019,38.3
BIH,2020,38.3
BIH,2021,38.2
BWA,1985,55.7
BWA,1986,55.8
BWA,1987,55.9
BWA,1988,56
BWA,1989,56.1
BWA,1990,56.2
BWA,1991,56.3
BWA,1992,56.4
BWA,1993,56.5
BWA,1994,56.5
BWA,1995,56.6
BWA,1996,56.8
BWA,1997,56.9
BWA,1998,57
BWA,1999,57.2
BWA,2000,57.3
BWA,2001,57.4
BWA,2002,57.6
BWA,2003,57.4
BWA,2004,57.4
BWA,2005,57.3
BWA,2006,57.4
BWA,2007,57.5
BWA,2008,57.5
BWA,2009,57.6
BWA,2010,57.7
BWA,2011,57.6
BWA,2012,57.6
BWA,2013,57.6
BWA,2014,57.6
BWA,2015,57.5
BRA,1960,28.9
BRA,1961,30.7
BRA,1962,32.4
BRA,1963,34.2
BRA,1964,36
BRA,1965,37.7
BRA,1966,39.5
BRA,1967,41.2
BRA,1968,43
BRA,1969,44.7
BRA,1970,46.5
BRA,1971,48.1
BRA,1972,49.7
BRA,1973,50.6
BRA,1974,51.5
BRA,1975,52
BRA,1976,52.6
BRA,1977,53
BRA,1978,53.1
BRA,1979,53.1
BRA,1980,53.3
BRA,1981,53.4
BRA,1982,53.9
BRA,1983,54.1
BRA,1984,53
BRA,1985,53.7
BRA,1986,53.8
BRA,1987,54.6
BRA,1988,56.7
BRA,1989,57.8
BRA,1990,56.9
BRA,1991,55.8
BRA,1992,54.8
BRA,1993,56
BRA,1994,56.3
BRA,1995,56.7
BRA,1996,56.4
BRA,1997,56.1
BRA,1998,55.7
BRA,1999,54.9
BRA,2000,54.3
BRA,2001,53.6
BRA,2002,52.9
BRA,2003,52
BRA,2004,51.3
BRA,2005,50.1
BRA,2006,49.3
BRA,2007,48.4
BRA,2008,47.7
BRA,2009,47.2
BRA,2010,46.7
BRA,2011,46.2
BRA,2012,45.3
BRA,2013,45.2
BRA,2014,44.6
BRA,2015,44.8
BRA,2016,46.2
BRA,2017,47.1
BRA,2018,47.4
BRA,2019,47.2
BRA,2020,45.8
BRA,2021,46.4
BRA,2022,45.5
BRA,2023,45.3
BRA,2024,45.2
BRN,1981,48.7
BGR,1989,27.5
BGR,1990,27.8
BGR,1991,28.4
BGR,1992,29.1
BGR,1993,30
BGR,1994,30.8
BGR,1995,31.6
BGR,1996,32.1
BGR,1997,32.2
BGR,1998,32.4
BGR,1999,32.5
BGR,2000,32.7
BGR,2001,33
BGR,2002,33
BGR,2003,33
BGR,2004,33.1
BGR,2005,33.1
BGR,2006,33.2
BGR,2007,33.2
BGR,2008,33
BGR,2009,33.1
BGR,2010,33.5
BGR,2011,34
BGR,2012,34.7
BGR,2013,35.4
BGR,2014,36.2
BGR,2015,37
BGR,2016,37.7
BGR,2017,38.1
BGR,2018,38.3
BGR,2019,38.4
BGR,2020,38.2
BGR,2021,38
BGR,2022,37.9
BGR,2023,37.8
BFA,1994,47.3
BFA,1995,47.3
BFA,1996,47.3
BFA,1997,47.3
BFA,1998,47.3
BFA,1999,47
BFA,2000,46.6
BFA,2001,46.2
BFA,2002,45.9
BFA,2003,45.5
BFA,2004,45
BFA,2005,44.6
BFA,2006,44.1
BFA,2007,43.6
BFA,2008,43.1
BFA,2009,42.6
BFA,2010,42.3
BFA,2011,41.9
BFA,2012,41.5
BFA,2013,41.1
BFA,2014,40.8
BFA,2015,40.8
BFA,2016,40.8
BFA,2017,40.9
BFA,2018,40.9
BFA,2019,40.8
BFA,2020,40.8
BFA,2021,40.7
BDI,1992,38.5
BDI,1993,38.7
BDI,1994,38.9
BDI,1995,39.1
BDI,1996,39.3
BDI,1997,39.5
BDI,1998,39.7
BDI,1999,39.5
BDI,2000,39.3
BDI,2001,39.2
BDI,2002,39
BDI,2003,38.8
BDI,2004,38.6
BDI,2005,38.5
BDI,2006,38.3
BDI,2007,38.4
BDI,2008,38.4
BDI,2009,38.5
BDI,2010,38.5
BDI,2011,38.5
BDI,2012,38.6
BDI,2013,38.7
BDI,2014,38.7
BDI,2015,38.7
BDI,2016,38.7
BDI,2017,38.7
BDI,2018,38.7
BDI,2019,38.7
BDI,2020,38.7
KHM,1997,37.3
KHM,1998,37.2
KHM,1999,37.1
KHM,2000,37
KHM,2001,36.9
KHM,2002,36.8
KHM,2003,36.7
KHM,2004,36.6
KHM,2005,36.5
KHM,2006,36.4
KHM,2007,36.3
KHM,2008,36.2
KHM,2009,36
KHM,2010,35.8
KHM,2011,35.6
KHM,2012,35.4
CMR,1996,44.1
CMR,1997,44.1
CMR,1998,44.2
CMR,1999,44.2
CMR,2000,44.2
CMR,2001,44.2
CMR,2002,44.3
CMR,2003,44.4
CMR,2004,44.4
CMR,2005,44.5
CMR,2006,44.6
CMR,2007,44.6
CMR,2008,44.7
CMR,2009,44.7
CMR,2010,44.9
CMR,2011,44.9
CMR,2012,45
CMR,2013,45.1
CMR,2014,45.2
CMR,2015,45.1
CMR,2016,45.1
CMR,2017,45.1
CMR,2018,45.1
CMR,2019,45
CMR,2020,45
CMR,2021,45
CAN,1969,29.3
CAN,1970,30.5
CAN,1971,31.7
CAN,1972,31.1
CAN,1973,30.5
CAN,1974,30.1
CAN,1975,30.1
CAN,1976,29.3
CAN,1977,29.7
CAN,1978,28.7
CAN,1979,29.7
CAN,1980,28.4
CAN,1981,29.4
CAN,1982,29.6
CAN,1983,29.6
CAN,1984,30.4
CAN,1985,30.2
CAN,1986,29
CAN,1987,28.9
CAN,1988,28.6
CAN,1989,28.4
CAN,1990,28.8
CAN,1991,29.1
CAN,1992,28.8
CAN,1993,28.8
CAN,1994,28.6
CAN,1995,28.9
CAN,1996,30
CAN,1997,30.6
CAN,1998,31
CAN,1999,31.2
CAN,2000,31.5
CAN,2001,31.7
CAN,2002,31.7
CAN,2003,31.8
CAN,2004,31.9
CAN,2005,31.9
CAN,2006,31.8
CAN,2007,31.8
CAN,2008,31.9
CAN,2009,31.9
CAN,2010,31.8
CAN,2011,31.6
CAN,2012,31.7
CAN,2013,31.8
CAN,2014,31.6
CAN,2015,31.6
CAN,2016,31.1
CAN,2017,31.1
CAN,2018,30.5
CAN,2019,29.8
CAN,2020,28.7
CAN,2021,29.2
CAN,2022,29.8
CAN,2023,30.3
CPV,1999,50.7
CPV,2000,50.8
CPV,2001,51
CPV,2002,50.9
CPV,2003,50.7
CPV,2004,50.5
CPV,2005,50.2
CPV,2006,49.9
