outcome_label,component,coef,se,p_value,stars,coef_latex,n,r2
GDP_per_capita_growth,heritage_Trade.Freedom,-0.007890936448144531,0.005283869376413038,0.13540441340846715,,$-0.008$,4372,5.100936550081102e-4
GDP_per_capita_growth,heritage_Investment.Freedom,-0.0055191945058059785,0.003747624681087469,0.14089888135685247,,$-0.006$,4385,4.945986117731181e-4
GDP_per_capita_growth,heritage_Financial.Freedom,-0.007066342644619802,0.0039911886380967045,0.07671608651756155,,$-0.007$,4364,7.181038147239544e-4
Gini_SWIID,fraser_SizeGov,1.771467077204108,0.11083094384539799,1.690787520155497e-55,***,$1.771^{***}$,3392,0.07007938539518017
Gini_SWIID,fraser_LegalSystem,-2.1566453328838104,0.0660131659401948,1.4111812234381742e-203,***,$-2.157^{***}$,3366,0.24085896546762628
Gini_SWIID,fraser_SoundMoney,-1.116836200166585,0.07500596992500964,1.295038228691702e-48,***,$-1.117^{***}$,3377,0.06164271448399273
Gini_SWIID,fraser_FreeTrade,-2.364644439029769,0.1030068379483571,9.69893780192738e-108,***,$-2.365^{***}$,3064,0.14683437686207332
Gini_SWIID,fraser_Regulation,-2.2164253487990844,0.1068579381267655,4.521842548351002e-90,***,$-2.216^{***}$,3394,0.11255809300024311
Gini_SWIID,heritage_Property.Rights,-0.1252359207996766,0.005237767705020758,4.873431255174132e-118,***,$-0.125^{***}$,3912,0.1275624755497127
Gini_SWIID,heritage_Government.Integrity,-0.14965381698708366,0.005297880808174289,5.973781712444066e-160,***,$-0.150^{***}$,3922,0.1691292209011247
Gini_SWIID,heritage_Judicial.Effectiveness,-0.13137261578162693,0.011612913986879313,1.7046106554635448e-27,***,$-0.131^{***}$,748,0.14642928879239608
Gini_SWIID,heritage_Tax.Burden,0.13732440540373425,0.009318011197890877,7.018284766348197e-48,***,$0.137^{***}$,3903,0.05274024403508757
Gini_SWIID,heritage_Government.Spending,0.18232602042601298,0.004831141848288167,4.6066672248666227e-266,***,$0.182^{***}$,3912,0.2670061663558101
Gini_SWIID,heritage_Fiscal.Health,-0.06813590968085755,0.00879098665063114,3.0083299426606217e-14,***,$-0.068^{***}$,745,0.07480351987565113
Gini_SWIID,heritage_Business.Freedom,-0.1773542311741327,0.008361340178515137,1.2925317250667524e-94,***,$-0.177^{***}$,3922,0.10295756082806262
Gini_SWIID,heritage_Labor.Freedom,-0.06251790404121157,0.010076056441588294,6.352539565892293e-10,***,$-0.063^{***}$,2625,0.01446444066107955
Gini_SWIID,heritage_Monetary.Freedom,-0.06627768460858062,0.00947171533241556,3.05328222782776e-12,***,$-0.066^{***}$,3916,0.012355412480084614
Gini_SWIID,heritage_Trade.Freedom,-0.1869472627789918,0.008498463074214844,3.388059994538466e-101,***,$-0.187^{***}$,3903,0.11035640493744421
Gini_SWIID,heritage_Investment.Freedom,-0.08374443299702018,0.006263422879363704,6.6908385070944994e-40,***,$-0.084^{***}$,3912,0.04372159675979618
Gini_SWIID,heritage_Financial.Freedom,-0.08138155866552844,0.006780254333888791,1.2838185189829186e-32,***,$-0.081^{***}$,3899,0.035650378531245544
Income_share_bottom50_WID,fraser_SizeGov,-0.8877047610111685,0.0571207056512391,6.987079292588199e-53,***,$-0.888^{***}$,3882,0.05859934236479717
Income_share_bottom50_WID,fraser_LegalSystem,1.3110997287683963,0.03407656262801286,1.410324003676602e-274,***,$1.311^{***}$,3876,0.2764740574326823
Income_share_bottom50_WID,fraser_SoundMoney,0.6192924452749166,0.03842037355576397,1.234928379093618e-56,***,$0.619^{***}$,3894,0.06257921959774028
Income_share_bottom50_WID,fraser_FreeTrade,1.2262623869799871,0.05359048098605611,4.1389646796572714e-108,***,$1.226^{***}$,3502,0.13013010007561784
Income_share_bottom50_WID,fraser_Regulation,1.275499583499292,0.05509360037018631,3.074450528180499e-111,***,$1.275^{***}$,3914,0.12050202155864419
Income_share_bottom50_WID,heritage_Property.Rights,0.0697733373723938,0.0026817072863703573,2.2321892614548648e-139,***,$0.070^{***}$,4617,0.1279206214947738
Income_share_bottom50_WID,heritage_Government.Integrity,0.08195871399702588,0.002758501665131104,1.031367773505456e-177,***,$0.082^{***}$,4633,0.16010162184874835
Income_share_bottom50_WID,heritage_Judicial.Effectiveness,0.07621037543596901,0.005682658451878977,4.662695087946785e-38,***,$0.076^{***}$,1087,0.14219488862038315
Income_share_bottom50_WID,heritage_Tax.Burden,-0.08126486348820944,0.004242614562191641,9.691683467901808e-79,***,$-0.081^{***}$,4597,0.07394199094567817
Income_share_bottom50_WID,heritage_Government.Spending,-0.08773847141819126,0.002445424680228274,7.573822888330675e-249,***,$-0.088^{***}$,4612,0.21828310336872808
Income_share_bottom50_WID,heritage_Fiscal.Health,0.038919115161115826,0.003974316859555805,9.465890814846758e-22,***,$0.039^{***}$,1080,0.08169044812927871
Income_share_bottom50_WID,heritage_Business.Freedom,0.08612559780046025,0.004015818095044843,2.3443424091534125e-97,***,$0.086^{***}$,4629,0.0904187377155624
Income_share_bottom50_WID,heritage_Labor.Freedom,0.029315012733202993,0.00480637222725731,1.1959813970645119e-9,***,$0.029^{***}$,3145,0.011697442246196918
Income_share_bottom50_WID,heritage_Monetary.Freedom,0.03845490858912265,0.004358224083470945,1.5471632061793408e-18,***,$0.038^{***}$,4619,0.01658296959757435
Income_share_bottom50_WID,heritage_Trade.Freedom,0.08493277781041565,0.004106007630935199,5.768605282291929e-91,***,$0.085^{***}$,4606,0.0850318833276843
Income_share_bottom50_WID,heritage_Investment.Freedom,0.05054424206025371,0.0030503227509152166,5.991374370323222e-60,***,$0.051^{***}$,4618,0.056142582030042215
Income_share_bottom50_WID,heritage_Financial.Freedom,0.054538342407140554,0.0033071269791622466,2.096346166069834e-59,***,$0.055^{***}$,4599,0.05585551796480742
log_under5_mort,fraser_SizeGov,0.32958019221991974,0.03128174245731032,1.3113070196118769e-25,***,$0.330^{***}$,3858,0.027981928788172118
log_under5_mort,fraser_LegalSystem,-0.8078844794163403,0.0173426636542023,0,***,$-0.808^{***}$,3852,0.3604689344100501
log_under5_mort,fraser_SoundMoney,-0.5353629743705769,0.01958968226438759,1.6536188087380163e-150,***,$-0.535^{***}$,3870,0.16183889932208334
log_under5_mort,fraser_FreeTrade,-1.0654625967073093,0.024941238123359143,6.897e-321,***,$-1.065^{***}$,3478,0.34426298534216077
log_under5_mort,fraser_Regulation,-1.2154553454383181,0.02547250935952188,0,***,$-1.215^{***}$,3890,0.3693277932160055
log_under5_mort,heritage_Property.Rights,-0.05158836470707573,0.0013707506796402833,2.218673621381316e-270,***,$-0.052^{***}$,4589,0.23593324736193358
log_under5_mort,heritage_Government.Integrity,-0.06026611451138649,0.0013874510151123726,0,***,$-0.060^{***}$,4605,0.2907261230187901
log_under5_mort,heritage_Judicial.Effectiveness,-0.051631354566239664,0.003341710979559259,8.102126551791175e-49,***,$-0.052^{***}$,1085,0.18061329759647105
log_under5_mort,heritage_Tax.Burden,-0.008969734687959034,0.002391200124410055,1.7821251966390449e-4,***,$-0.009^{***}$,4568,0.0030722399187124373
log_under5_mort,heritage_Government.Spending,0.04629548631872363,0.0013412872668424887,2.899438502097792e-232,***,$0.046^{***}$,4584,0.2063511916864417
log_under5_mort,heritage_Fiscal.Health,-0.01539505065092316,0.00244066213839198,4.1278089380615183e-10,***,$-0.015^{***}$,1078,0.03565869250583999
log_under5_mort,heritage_Business.Freedom,-0.07378905569478547,0.0020397445478329227,2.1473103455718697e-252,***,$-0.074^{***}$,4599,0.2215963899135063
log_under5_mort,heritage_Labor.Freedom,-0.04446723705388949,0.0026881595499076366,5.504830639625224e-59,***,$-0.044^{***}$,3126,0.08053665761865675
log_under5_mort,heritage_Monetary.Freedom,-0.04607148543090158,0.0022848082615563323,1.0438479669760601e-86,***,$-0.046^{***}$,4590,0.08140749605643137
log_under5_mort,heritage_Trade.Freedom,-0.05978794263439184,0.0021702861272350615,1.0984734867327823e-154,***,$-0.060^{***}$,4569,0.14249478992947498
log_under5_mort,heritage_Investment.Freedom,-0.042921156763496,0.0016000971745602998,2.41268443569727e-147,***,$-0.043^{***}$,4582,0.1357727453920084
log_under5_mort,heritage_Financial.Freedom,-0.04450690098318706,0.0017483341645038208,8.93514488990081e-134,***,$-0.045^{***}$,4559,0.12450341153910033
