sd_mult_shock,component,outcome,outcome_col,att,se,p_value_raw
1.5,heritage_Government.Integrity,Gini_SWIID,Gini_SWIID,-0.7183603864968106,0.46696068051131334,0.12395708230972262
1.5,heritage_Government.Spending,Gini_SWIID,Gini_SWIID,-0.09214583085668264,0.5194895786247352,0.8592117764788029
1.5,heritage_Investment.Freedom,Gini_SWIID,Gini_SWIID,0.43878521929075653,0.5610078695355079,0.434133847116683
1.5,heritage_Judicial.Effectiveness,Gini_SWIID,Gini_SWIID,0.3020246156181141,0.4281336754367294,0.4805335588129891
1.5,heritage_Labor.Freedom,Gini_SWIID,Gini_SWIID,0.00528087605666092,0.683913223132474,0.9938391487972288
1.5,heritage_Monetary.Freedom,Gini_SWIID,Gini_SWIID,0.3316496037733177,0.6053169860660056,0.5837646219772492
1.5,heritage_Property.Rights,Gini_SWIID,Gini_SWIID,-1.0780978855786112,0.47055822662562374,0.0219573931779257
1.5,heritage_Tax.Burden,Gini_SWIID,Gini_SWIID,0.42387963239327825,0.5088442847394453,0.40483104875822623
1.5,heritage_Trade.Freedom,Gini_SWIID,Gini_SWIID,-0.3493613619909453,0.5182075864556809,0.5002015798906299
1.5,fraser_FreeTrade,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.05326076643416025,0.24253455002018492,0.826182115766817
1.5,fraser_LegalSystem,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.1871851445546329,0.22572924441566175,0.406965041017347
1.5,fraser_Regulation,Income_share_bottom50_WID,Income_share_bottom50_WID,0.40929637206112224,0.181524385078303,0.02414754980320025
1.5,fraser_SizeGov,Income_share_bottom50_WID,Income_share_bottom50_WID,0.7391276879962712,0.21183934205640947,4.846580241862287e-4
1.5,fraser_SoundMoney,Income_share_bottom50_WID,Income_share_bottom50_WID,0.24363373348009043,0.2366904363423337,0.303322315160969
1.5,heritage_Business.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.2008725932778585,0.2191352785116208,0.35932071592215936
1.5,heritage_Financial.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.27562372244077504,0.3161628443676551,0.3833296534447498
1.5,heritage_Fiscal.Health,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.10521060128596912,0.14037337959310914,0.4535526654710615
1.5,heritage_Government.Integrity,Income_share_bottom50_WID,Income_share_bottom50_WID,0.518414288425895,0.2491336813215457,0.0374459960367989
1.5,heritage_Government.Spending,Income_share_bottom50_WID,Income_share_bottom50_WID,0.12254835777996846,0.27315990549907543,0.6536969263380226
1.5,heritage_Investment.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.5745754867331473,0.3157316859289041,0.06878610732249134
1.5,heritage_Judicial.Effectiveness,Income_share_bottom50_WID,Income_share_bottom50_WID,0.10949580359243884,0.09512966473210216,0.2497254914330683
1.5,heritage_Labor.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.15219490134682007,0.19309981601995052,0.430599033103649
1.5,heritage_Monetary.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.45776570919180987,0.25298190344095295,0.07037645560336803
1.5,heritage_Property.Rights,Income_share_bottom50_WID,Income_share_bottom50_WID,0.3567569659442724,0.19219955059900665,0.06342790277818026
1.5,heritage_Tax.Burden,Income_share_bottom50_WID,Income_share_bottom50_WID,0.03050962800420744,0.2906048847588125,0.916386416457636
1.5,heritage_Trade.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.27158306157377987,0.2526704925886176,0.28244156699775685
1.5,fraser_FreeTrade,log_under5_mort,log_under5_mort,0.04234619079596975,0.03241079851880455,0.19136703428988336
1.5,fraser_LegalSystem,log_under5_mort,log_under5_mort,-0.04041646689918008,0.03580608458252062,0.258999198392012
1.5,fraser_Regulation,log_under5_mort,log_under5_mort,-0.00617067559299888,0.03553473266998482,0.8621390026259941
1.5,fraser_SizeGov,log_under5_mort,log_under5_mort,-0.00993035432679727,0.03805539186155598,0.7941351223507555
1.5,fraser_SoundMoney,log_under5_mort,log_under5_mort,-0.05826217622448419,0.03760223558990264,0.1212774646019357
1.5,heritage_Business.Freedom,log_under5_mort,log_under5_mort,-0.04551065596995726,0.04202358062552228,0.2788177374605133
1.5,heritage_Financial.Freedom,log_under5_mort,log_under5_mort,-0.00246124970683744,0.05575139806986165,0.9647873325524172
1.5,heritage_Fiscal.Health,log_under5_mort,log_under5_mort,-0.00989220903551793,0.01966656749512659,0.6149669324513906
1.5,heritage_Government.Integrity,log_under5_mort,log_under5_mort,-0.1257772818195152,0.0479577097052007,0.00872435420895706
1.5,heritage_Government.Spending,log_under5_mort,log_under5_mort,-0.07667950016222552,0.04827669655317975,0.112210919148983
1.5,heritage_Investment.Freedom,log_under5_mort,log_under5_mort,0.05924936459200145,0.07742106140930177,0.4441004114418563
1.5,heritage_Judicial.Effectiveness,log_under5_mort,log_under5_mort,0.00711277961180917,0.01233988250063341,0.5643409377418506
1.5,heritage_Labor.Freedom,log_under5_mort,log_under5_mort,-0.01028719220687796,0.03224003409046897,0.7496648584142663
1.5,heritage_Monetary.Freedom,log_under5_mort,log_under5_mort,-0.09968895839781693,0.05209351595468308,0.05566439697040138
1.5,heritage_Property.Rights,log_under5_mort,log_under5_mort,-0.09920088149572592,0.04379481998108396,0.02350481393258015
1.5,heritage_Tax.Burden,log_under5_mort,log_under5_mort,0.02844222660298609,0.04965642284665322,0.5667933798263486
1.5,heritage_Trade.Freedom,log_under5_mort,log_under5_mort,0.00673148866820461,0.05956318559893783,0.9100192587912612
