sd_mult_shock,component,outcome,outcome_col,att,se,p_value_raw,fdr_bh,reject_bh_05
1,fraser_FreeTrade,log_under5_mort,log_under5_mort,-7.535387955160853e-4,0.03817054884941889,0.9842496914817273,0.9952669948172184,FALSE
1,fraser_Regulation,GDP_per_capita_growth,GDP_per_capita_growth,1.1021823297800384,0.8169230512327278,0.1772767642301303,0.6434143689004017,FALSE
1,fraser_Regulation,Gini_SWIID,Gini_SWIID,0.7727077215521285,0.6012073924285012,0.19870149627806524,0.6434143689004017,FALSE
1,fraser_Regulation,Income_share_bottom50_WID,Income_share_bottom50_WID,0.5574587023356122,0.30003128563637155,0.063168742806823025,0.5369343138579957,FALSE
1,fraser_Regulation,log_under5_mort,log_under5_mort,3.050021982179003e-4,0.05141661763704363,0.9952669948172184,0.9952669948172184,FALSE
1,heritage_Property.Rights,GDP_per_capita_growth,GDP_per_capita_growth,0.15258823001350025,0.6960037907501825,0.8264671727770664,0.9859608376989564,FALSE
1,heritage_Property.Rights,Gini_SWIID,Gini_SWIID,-0.9773313112279342,0.5446293064427536,0.07273514935135003,0.5495544617657557,FALSE
1,heritage_Property.Rights,Income_share_bottom50_WID,Income_share_bottom50_WID,0.2305976923076923,0.3829112363922176,0.5470261617359196,0.8650646278614541,FALSE
1,heritage_Property.Rights,log_under5_mort,log_under5_mort,-0.09536367478865378,0.05938534395842865,0.10830790716326628,0.5590670277560167,FALSE
1,heritage_Government.Integrity,GDP_per_capita_growth,GDP_per_capita_growth,0.10015117836165235,0.8243537524631073,0.9033025112012424,0.9952669948172184,FALSE
1,heritage_Government.Integrity,Gini_SWIID,Gini_SWIID,-0.02797040025048822,0.496929916046027,0.9551136461153612,0.9952669948172184,FALSE
1,heritage_Government.Integrity,Income_share_bottom50_WID,Income_share_bottom50_WID,0.3947855848407867,0.3651036444174082,0.2795648881905376,0.704089348035428,FALSE
1,heritage_Government.Integrity,log_under5_mort,log_under5_mort,-0.12700474614269663,0.05927647288428542,0.03214662041692586,0.4158041497975403,FALSE
1,heritage_Judicial.Effectiveness,GDP_per_capita_growth,GDP_per_capita_growth,-0.6719713351413276,0.600018141560792,0.26274855213296305,0.6948438547882482,FALSE
1,heritage_Judicial.Effectiveness,Gini_SWIID,Gini_SWIID,1.3090304466657103,0.8307773992858859,0.11510203512623872,0.5590670277560167,FALSE
1,heritage_Judicial.Effectiveness,Income_share_bottom50_WID,Income_share_bottom50_WID,0.11560091176939012,0.08785251721783009,0.18822371716267963,0.6434143689004017,FALSE
1,heritage_Judicial.Effectiveness,log_under5_mort,log_under5_mort,0.01269916545131279,0.01478989271390997,0.39054020836876174,0.7369239339351253,FALSE
1,heritage_Tax.Burden,GDP_per_capita_growth,GDP_per_capita_growth,-1.1515044516979176,0.3941954341597027,0.00348740572057055,0.11857179449939882,FALSE
1,heritage_Tax.Burden,Gini_SWIID,Gini_SWIID,1.008129714528871,0.6029126495078074,0.09450477687891838,0.5590670277560167,FALSE
1,heritage_Tax.Burden,Income_share_bottom50_WID,Income_share_bottom50_WID,-0.05728849443338491,0.30229515057111417,0.849691717155739,0.9952669948172184,FALSE
1,heritage_Tax.Burden,log_under5_mort,log_under5_mort,-0.03682245678755877,0.069640939252961,0.5969807783121566,0.8681030442952619,FALSE
1,heritage_Government.Spending,GDP_per_capita_growth,GDP_per_capita_growth,-0.2123636213816347,0.435125395528936,0.6255133316086776,0.8681030442952619,FALSE
1,heritage_Government.Spending,Gini_SWIID,Gini_SWIID,0.2470123229361752,0.6802519173764984,0.7165160721979694,0.8997727093132117,FALSE
1,heritage_Government.Spending,Income_share_bottom50_WID,Income_share_bottom50_WID,0.23886014364935665,0.27673985905899096,0.3880706256011542,0.7369239339351253,FALSE
1,heritage_Government.Spending,log_under5_mort,log_under5_mort,0.04232402123972473,0.08672829709961828,0.625544840742174,0.8681030442952619,FALSE
1,heritage_Fiscal.Health,GDP_per_capita_growth,GDP_per_capita_growth,-0.4553069404120741,0.39388919880842704,0.2477112456154063,0.6948438547882482,FALSE
1,heritage_Fiscal.Health,Gini_SWIID,Gini_SWIID,0.2500509037092678,0.4797709318461388,0.6022357383299244,0.8681030442952619,FALSE
1,heritage_Fiscal.Health,Income_share_bottom50_WID,Income_share_bottom50_WID,0.04885797691396226,0.11695698940663056,0.6761349466481823,0.8997727093132117,FALSE
1,heritage_Fiscal.Health,log_under5_mort,log_under5_mort,-4.437883938395432e-4,0.0174459842428378,0.979705718026871,0.9952669948172184,FALSE
1,heritage_Business.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.24893674826808332,0.6866630189651625,0.7169551344558567,0.8997727093132117,FALSE
1,heritage_Business.Freedom,Gini_SWIID,Gini_SWIID,0.6812839414480922,0.7378784931708341,0.3558503733840435,0.711700746768087,FALSE
1,heritage_Business.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.49057588169806954,0.3765550517178043,0.1926430867626466,0.6434143689004017,FALSE
1,heritage_Business.Freedom,log_under5_mort,log_under5_mort,-0.11339535411052476,0.06935671212751549,0.10205772318615464,0.5590670277560167,FALSE
1,heritage_Labor.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.2079226341569181,0.6545909481850972,0.7507599231133566,0.91163704949479,FALSE
1,heritage_Labor.Freedom,Gini_SWIID,Gini_SWIID,0.7679539401410759,0.5654130823659893,0.17439468095161326,0.6434143689004017,FALSE
1,heritage_Labor.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.11722673745173746,0.15684704347240308,0.4548250033764044,0.7930282110152692,FALSE
1,heritage_Labor.Freedom,log_under5_mort,log_under5_mort,-0.02427132595055873,0.02582792464112287,0.3473550729929603,0.711700746768087,FALSE
1,heritage_Monetary.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.20962056578294336,0.6021670633800835,0.7277573384150977,0.8997727093132117,FALSE
1,heritage_Monetary.Freedom,Gini_SWIID,Gini_SWIID,-0.6468705387375624,0.6558735791450319,0.32399906348396446,0.7107076231261156,FALSE
1,heritage_Monetary.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.7230285630107884,0.29651802330973165,0.01475257535523212,0.33439170805192825,FALSE
1,heritage_Monetary.Freedom,log_under5_mort,log_under5_mort,-0.02850107779210495,0.07303539611687289,0.6963616693926431,0.8997727093132117,FALSE
1,heritage_Trade.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,0.035229922147087,0.5806708501557213,0.951621171537737,0.9952669948172184,FALSE
1,heritage_Trade.Freedom,Gini_SWIID,Gini_SWIID,-0.7409497220370499,0.7164163685292557,0.3010218538229411,0.7107076231261156,FALSE
1,heritage_Trade.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.14484034042491728,0.25921498825127115,0.5763219078338672,0.8681030442952619,FALSE
1,heritage_Trade.Freedom,log_under5_mort,log_under5_mort,-0.09535089344444654,0.06977065555703646,0.17174030915815935,0.6434143689004017,FALSE
1,heritage_Investment.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.4017378351153776,0.4783252677570977,0.4009733169941123,0.7369239339351253,FALSE
1,heritage_Investment.Freedom,Gini_SWIID,Gini_SWIID,0.43878521929075653,0.6812628158041351,0.5195259716723457,0.8616528310663294,FALSE
1,heritage_Investment.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.5745754867331473,0.28614849630558786,0.04464726310341978,0.4337162701475064,FALSE
1,heritage_Investment.Freedom,log_under5_mort,log_under5_mort,0.05924936459200145,0.08207702315624467,0.4703712317635725,0.7996310939980732,FALSE
1,heritage_Financial.Freedom,GDP_per_capita_growth,GDP_per_capita_growth,-0.496165064713135,0.4978640221251001,0.3189647723634753,0.7107076231261156,FALSE
1,heritage_Financial.Freedom,Gini_SWIID,Gini_SWIID,0.6823591173831262,0.5836271344659364,0.24233529696127296,0.6948438547882482,FALSE
1,heritage_Financial.Freedom,Income_share_bottom50_WID,Income_share_bottom50_WID,0.27562372244077504,0.2940088717321637,0.3485182029319539,0.711700746768087,FALSE
1,heritage_Financial.Freedom,log_under5_mort,log_under5_mort,-0.00246124970683744,0.05139670004035847,0.961806052956576,0.9952669948172184,FALSE
