sd_mult_shock,policy_component,ISO3,first_treat_year
1.5,fraser_SoundMoney,THA,2015
1.5,fraser_SoundMoney,TJK,2004
1.5,fraser_SoundMoney,TLS,2002
1.5,fraser_SoundMoney,TUN,2020
1.5,fraser_SoundMoney,TUR,2007
1.5,fraser_SoundMoney,UGA,2013
1.5,fraser_SoundMoney,UKR,2001
1.5,fraser_SoundMoney,URY,2004
1.5,fraser_SoundMoney,VEN,2001
1.5,fraser_SoundMoney,VNM,2009
1.5,fraser_SoundMoney,YEM,2002
1.5,fraser_SoundMoney,ZMB,2017
1.5,fraser_SoundMoney,ZWE,2008
1.5,fraser_FreeTrade,AGO,2019
1.5,fraser_FreeTrade,ALB,2014
1.5,fraser_FreeTrade,ARE,2022
1.5,fraser_FreeTrade,ARG,2016
1.5,fraser_FreeTrade,ARM,2014
1.5,fraser_FreeTrade,BDI,2006
1.5,fraser_FreeTrade,BEL,2022
1.5,fraser_FreeTrade,BGD,2006
1.5,fraser_FreeTrade,BGR,2006
1.5,fraser_FreeTrade,BHS,2022
1.5,fraser_FreeTrade,BIH,2006
1.5,fraser_FreeTrade,BLZ,2022
1.5,fraser_FreeTrade,BRA,2022
1.5,fraser_FreeTrade,BRB,2022
1.5,fraser_FreeTrade,BWA,2014
1.5,fraser_FreeTrade,CAF,2014
1.5,fraser_FreeTrade,CHL,2001
1.5,fraser_FreeTrade,COD,2002
1.5,fraser_FreeTrade,COL,2022
1.5,fraser_FreeTrade,COM,2022
1.5,fraser_FreeTrade,CPV,2022
1.5,fraser_FreeTrade,CRI,2006
1.5,fraser_FreeTrade,CYP,2004
1.5,fraser_FreeTrade,CZE,2014
1.5,fraser_FreeTrade,DEU,2022
1.5,fraser_FreeTrade,DNK,2022
1.5,fraser_FreeTrade,DOM,2006
1.5,fraser_FreeTrade,DZA,2020
1.5,fraser_FreeTrade,ECU,2022
1.5,fraser_FreeTrade,EGY,2004
1.5,fraser_FreeTrade,ESP,2022
1.5,fraser_FreeTrade,EST,2022
1.5,fraser_FreeTrade,ETH,2019
1.5,fraser_FreeTrade,FIN,2022
1.5,fraser_FreeTrade,FJI,2022
1.5,fraser_FreeTrade,FRA,2022
1.5,fraser_FreeTrade,GBR,2021
1.5,fraser_FreeTrade,GIN,2017
1.5,fraser_FreeTrade,GMB,2022
1.5,fraser_FreeTrade,GNB,2019
1.5,fraser_FreeTrade,GTM,2006
1.5,fraser_FreeTrade,HKG,2022
1.5,fraser_FreeTrade,HTI,2003
1.5,fraser_FreeTrade,HUN,2001
1.5,fraser_FreeTrade,IND,2017
1.5,fraser_FreeTrade,IRL,2021
1.5,fraser_FreeTrade,IRN,2013
1.5,fraser_FreeTrade,ISR,2021
1.5,fraser_FreeTrade,ITA,2022
1.5,fraser_FreeTrade,JAM,2021
1.5,fraser_FreeTrade,JOR,2022
1.5,fraser_FreeTrade,KAZ,2014
1.5,fraser_FreeTrade,KGZ,2014
1.5,fraser_FreeTrade,KHM,2022
1.5,fraser_FreeTrade,KOR,2022
1.5,fraser_FreeTrade,LAO,2017
1.5,fraser_FreeTrade,LBN,2022
1.5,fraser_FreeTrade,LBY,2020
1.5,fraser_FreeTrade,LKA,2022
1.5,fraser_FreeTrade,LSO,2013
1.5,fraser_FreeTrade,LUX,2022
1.5,fraser_FreeTrade,MDA,2021
1.5,fraser_FreeTrade,MDG,2022
1.5,fraser_FreeTrade,MLT,2004
1.5,fraser_FreeTrade,MMR,2012
1.5,fraser_FreeTrade,MNE,2021
1.5,fraser_FreeTrade,MOZ,2017
1.5,fraser_FreeTrade,MRT,2019
1.5,fraser_FreeTrade,MUS,2005
1.5,fraser_FreeTrade,MWI,2008
1.5,fraser_FreeTrade,MYS,2022
1.5,fraser_FreeTrade,NAM,2022
1.5,fraser_FreeTrade,NGA,2002
1.5,fraser_FreeTrade,NIC,2022
1.5,fraser_FreeTrade,NLD,2022
1.5,fraser_FreeTrade,PAK,2002
1.5,fraser_FreeTrade,PAN,2022
1.5,fraser_FreeTrade,PHL,2022
1.5,fraser_FreeTrade,PNG,2007
1.5,fraser_FreeTrade,PRT,2022
1.5,fraser_FreeTrade,QAT,2022
1.5,fraser_FreeTrade,ROU,2005
1.5,fraser_FreeTrade,RUS,2002
1.5,fraser_FreeTrade,RWA,2010
1.5,fraser_FreeTrade,SDN,2020
1.5,fraser_FreeTrade,SGP,2022
1.5,fraser_FreeTrade,SLE,2002
1.5,fraser_FreeTrade,SLV,2021
1.5,fraser_FreeTrade,SOM,2022
1.5,fraser_FreeTrade,SRB,2021
1.5,fraser_FreeTrade,SVN,2021
1.5,fraser_FreeTrade,SWZ,2014
1.5,fraser_FreeTrade,SYC,2018
1.5,fraser_FreeTrade,SYR,2004
1.5,fraser_FreeTrade,TGO,2005
1.5,fraser_FreeTrade,TJK,2018
1.5,fraser_FreeTrade,TLS,2022
1.5,fraser_FreeTrade,TTO,2001
1.5,fraser_FreeTrade,TUN,2011
1.5,fraser_FreeTrade,UGA,2006
1.5,fraser_FreeTrade,UKR,2002
1.5,fraser_FreeTrade,VEN,2004
1.5,fraser_FreeTrade,ZAF,2022
1.5,fraser_FreeTrade,ZMB,2022
1.5,fraser_FreeTrade,ZWE,2008
1.5,fraser_Regulation,AGO,2004
1.5,fraser_Regulation,ALB,2006
1.5,fraser_Regulation,ARM,2001
1.5,fraser_Regulation,AZE,2007
1.5,fraser_Regulation,BDI,2001
1.5,fraser_Regulation,BEL,2010
1.5,fraser_Regulation,BEN,2017
1.5,fraser_Regulation,BFA,2003
1.5,fraser_Regulation,BGD,2005
1.5,fraser_Regulation,BHR,2017
1.5,fraser_Regulation,BHS,2022
1.5,fraser_Regulation,BLR,2014
1.5,fraser_Regulation,BRA,2010
1.5,fraser_Regulation,BRN,2012
1.5,fraser_Regulation,BTN,2004
1.5,fraser_Regulation,CIV,2009
1.5,fraser_Regulation,COD,2005
1.5,fraser_Regulation,COG,2001
1.5,fraser_Regulation,COL,2010
1.5,fraser_Regulation,COM,2010
1.5,fraser_Regulation,CYP,2010
1.5,fraser_Regulation,CZE,2010
1.5,fraser_Regulation,DEU,2010
1.5,fraser_Regulation,DJI,2010
1.5,fraser_Regulation,DZA,2001
1.5,fraser_Regulation,ECU,2002
1.5,fraser_Regulation,EGY,2010
1.5,fraser_Regulation,ESP,2010
1.5,fraser_Regulation,ETH,2001
1.5,fraser_Regulation,FJI,2005
1.5,fraser_Regulation,GAB,2001
1.5,fraser_Regulation,GBR,2010
1.5,fraser_Regulation,GEO,2005
1.5,fraser_Regulation,GHA,2002
1.5,fraser_Regulation,GIN,2008
1.5,fraser_Regulation,GMB,2017
1.5,fraser_Regulation,GNB,2001
1.5,fraser_Regulation,GRC,2014
1.5,fraser_Regulation,HTI,2008
1.5,fraser_Regulation,HUN,2010
1.5,fraser_Regulation,IDN,2002
1.5,fraser_Regulation,IRL,2010
1.5,fraser_Regulation,IRN,2014
1.5,fraser_Regulation,IRQ,2016
1.5,fraser_Regulation,ISL,2003
1.5,fraser_Regulation,ISR,2010
1.5,fraser_Regulation,ITA,2010
1.5,fraser_Regulation,JAM,2010
1.5,fraser_Regulation,KEN,2005
1.5,fraser_Regulation,KGZ,2007
1.5,fraser_Regulation,KHM,2005
1.5,fraser_Regulation,KWT,2001
1.5,fraser_Regulation,LAO,2002
1.5,fraser_Regulation,LBN,2007
1.5,fraser_Regulation,LKA,2010
1.5,fraser_Regulation,LSO,2012
1.5,fraser_Regulation,LTU,2010
1.5,fraser_Regulation,MAR,2006
1.5,fraser_Regulation,MDA,2010
1.5,fraser_Regulation,MDG,2006
1.5,fraser_Regulation,MKD,2010
1.5,fraser_Regulation,MLI,2005
1.5,fraser_Regulation,MLT,2004
1.5,fraser_Regulation,MMR,2010
1.5,fraser_Regulation,MNE,2013
1.5,fraser_Regulation,MNG,2017
1.5,fraser_Regulation,MUS,2018
1.5,fraser_Regulation,MWI,2005
1.5,fraser_Regulation,MYS,2005
1.5,fraser_Regulation,NAM,2010
1.5,fraser_Regulation,NER,2009
1.5,fraser_Regulation,NGA,2013
1.5,fraser_Regulation,NLD,2010
1.5,fraser_Regulation,NPL,2010
1.5,fraser_Regulation,OMN,2009
1.5,fraser_Regulation,PAK,2010
1.5,fraser_Regulation,PER,2010
1.5,fraser_Regulation,PHL,2010
1.5,fraser_Regulation,PRT,2010
1.5,fraser_Regulation,PRY,2005
1.5,fraser_Regulation,ROU,2010
1.5,fraser_Regulation,RUS,2010
1.5,fraser_Regulation,RWA,2003
1.5,fraser_Regulation,SAU,2007
1.5,fraser_Regulation,SDN,2010
1.5,fraser_Regulation,SEN,2009
1.5,fraser_Regulation,SLE,2005
1.5,fraser_Regulation,SRB,2009
1.5,fraser_Regulation,SWE,2010
1.5,fraser_Regulation,SWZ,2004
1.5,fraser_Regulation,SYC,2004
1.5,fraser_Regulation,TGO,2011
1.5,fraser_Regulation,TJK,2005
1.5,fraser_Regulation,TLS,2007
1.5,fraser_Regulation,TUR,2005
1.5,fraser_Regulation,TZA,2005
1.5,fraser_Regulation,UGA,2005
1.5,fraser_Regulation,UKR,2002
1.5,fraser_Regulation,URY,2004
1.5,fraser_Regulation,VEN,2004
1.5,fraser_Regulation,VNM,2005
1.5,fraser_Regulation,YEM,2010
1.5,fraser_Regulation,ZWE,2015
1.5,heritage_Property.Rights,AFG,2020
1.5,heritage_Property.Rights,AGO,2017
1.5,heritage_Property.Rights,ALB,2017
1.5,heritage_Property.Rights,ARE,2010
1.5,heritage_Property.Rights,ARG,2017
1.5,heritage_Property.Rights,ARM,2017
1.5,heritage_Property.Rights,AUS,2022
1.5,heritage_Property.Rights,AUT,2022
1.5,heritage_Property.Rights,AZE,2017
1.5,heritage_Property.Rights,BFA,1997
1.5,heritage_Property.Rights,BGD,2017
1.5,heritage_Property.Rights,BGR,2017
1.5,heritage_Property.Rights,BHR,2003
1.5,heritage_Property.Rights,BHS,2020
1.5,heritage_Property.Rights,BIH,2011
1.5,heritage_Property.Rights,BLR,2017
1.5,heritage_Property.Rights,BLZ,2001
1.5,heritage_Property.Rights,BOL,1998
1.5,heritage_Property.Rights,BRA,2017
1.5,heritage_Property.Rights,BRB,1998
