ISO3,Year,Heritage_Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,fraser_Score,Size_of_Government,Legal_System_and_Property,Sound_Money,Free_Trade,Regulation,Access to clean fuels and technologies for cooking (% of population),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),"Children in employment, work only (% of children in employment, ages 7-14)",Consumer price index (2010 = 100),Coverage of social insurance programs (% of population),Coverage of social insurance programs in poorest quintile (% of population),Coverage of social safety net programs (% of population),Coverage of social safety net programs in poorest quintile (% of population),Coverage of unemployment benefits and ALMP in poorest quintile (% of population),"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Exports of goods and services (constant 2015 US$),GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),GNI (constant 2015 US$),GNI growth (annual %),GNI per capita (constant 2015 US$),GNI per capita growth (annual %),Gini index,Income share held by highest 10%,Income share held by lowest 10%,Marine protected areas (% of territorial waters),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty gap at $6.85 a day (2017 PPP) (%),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at societal poverty line (% of population),Proportion of people living below 50 percent of median income (%),Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Prosperity gap (average shortfall from a prosperity standard of $25/day),"School enrollment, primary (% net)","Survey mean consumption or income per capita, total population (2017 PPP $ per day)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
BHS,2018,63.3,46.5,50.9,53.5,96.5,82.9,59.0,68.3,64.6,79.2,52.7,45.0,60.0,7.15980237,9.129859184,5.425677274,8.061154548,5.659189874,7.51544108,100.0,,,1.5426,3.928019413,,113.3939999,,,,,,,4408433397.0,12195757028.0,2.62988986,31054.82326,2.046594728,11384013110.0,0.366869545,28987.82867,-0.203563752,,,,7.922886205,,,,,,,,,,,,,,,74.22717,,10.0
BHR,2018,67.7,62.1,51.8,55.1,99.9,66.4,6.5,75.5,76.5,79.9,83.4,75.0,80.0,7.400146277,7.312628714,4.585837553,9.172561439,8.088605958,7.818964128,100.0,,,33.824,22.50296223,,117.5893744,,,,,,79.94000244,26707280576.0,36164044588.0,2.05258865,24059.78386,1.918495729,34224185018.0,2.08866166,22769.20361,1.954521341,,,,1.242239187,,,,,,,,,,,,,,,96.71489,,1.2
BGD,2018,55.1,32.4,21.2,32.6,72.7,94.2,78.9,52.1,66.4,69.0,61.2,50.0,30.0,5.840017065,8.267920223,2.647567138,6.503386043,6.104797951,5.670266779,21.9,,,105.485,0.645077045,,170.1642434,,,,,,43.63999939,36010032876.0,239112000000.0,7.31941263,1462.250503,6.441974947,,7.925878567,,7.004118112,,,,5.3571902,,,,,,,,,,,,,,,,,4.407
BRB,2018,57.0,51.4,53.8,54.4,74.0,39.3,0.0,70.5,63.2,85.0,62.2,70.0,60.0,6.490469208,6.941705112,5.614714025,6.68335613,6.912603979,6.274935918,100.0,,,0.7391,2.632957027,,128.8096071,,,,,,49.42437744,,5326451133.0,-1.174065094,18974.85718,-1.364175224,,,,,,,,0.005846512,,,,,,,,,,,,,,,96.69287,,8.322
BLR,2018,58.1,53.5,42.0,57.3,89.8,47.9,75.4,74.1,73.1,62.3,81.4,30.0,10.0,6.076156663,6.462437071,4.485905976,7.00987144,6.294207173,6.126616233,99.7,,,63.5591,6.733822203,,481.3903139,48.91627253,41.22598175,49.06598265,55.0840446,,,37478313244.0,58198852028.0,3.149197594,6165.926232,3.369991519,56066651560.0,3.173899578,5940.028463,3.394746378,25.2,21.4,4.3,,0.0,0.4,0.1,1.9,5.6,9.2,5.2,,,,,9.99,0.46,1.7,94.92861,,4.763
BEL,2018,67.5,81.2,70.9,69.5,44.0,12.1,67.9,80.6,59.5,82.6,86.9,85.0,70.0,7.629717362,4.764364218,7.617284794,9.109607063,8.78379386,7.866003392,100.0,,,100.0981,8.759746825,,115.4516256,,,,,,87.62632751,408349000000.0,482317000000.0,1.877968572,42208.36259,1.415289472,486714000000.0,1.837837522,42593.1122,0.651353544,27.2,22.2,3.5,36.65524302,0.1,0.1,0.1,0.2,14.8,10.6,9.6,,,,,,,0.6,,,5.941
BLZ,2018,57.1,42.1,34.7,53.5,80.0,65.5,50.0,62.9,48.7,78.3,64.9,55.0,50.0,6.299500832,6.950313881,3.980578162,7.223128945,6.565771854,6.765197085,83.0,,,0.2466,0.648561645,,105.9618601,,,,,,,1109024611.0,2178394773.0,1.11057125,5729.210452,-0.757266963,2025551496.0,-0.263852683,5327.230372,-2.106300855,,,,10.07887523,,,,,,,,,,,,6.2,3.1,,95.94237,,7.896
BEN,2018,56.7,35.5,30.2,31.3,67.4,85.6,49.7,60.7,49.9,84.7,55.6,80.0,50.0,6.279968102,7.456815266,4.010414214,7.271279843,6.11611471,6.533913171,5.3,,,8.2462,0.665910436,,109.9145322,2.023652844,0.182296168,17.07399778,18.65538871,,16.14244843,3589279634.0,13268812303.0,6.697253622,1071.504522,3.737015543,13217693100.0,6.553065637,1067.376461,3.596827949,37.9,30.0,2.9,0.0,18.2,43.1,53.2,83.6,38.5,37.9,11.0,3.88,3.23,39.78,12.67,14.29,2.95,8.2,97.21103,4.66,1.41
BTN,2018,61.8,60.9,50.9,51.6,83.0,72.2,80.0,72.5,75.7,70.5,74.4,20.0,30.0,6.729216,7.174673756,6.470311284,6.533674873,6.39218703,7.075185439,83.3,,,1.7949,2.362459675,,165.4378459,,,,,,,697524274.1,2507622616.0,3.501871837,3300.550065,2.762961008,2297135854.0,3.269787015,3023.505945,2.532533064,,,,,,,,,,,,,,,,,,,88.02597,,3.35
BOL,2018,44.1,19.0,23.1,11.4,85.7,46.5,46.8,59.2,49.2,67.5,75.5,5.0,40.0,6.149934641,6.034684736,4.046265853,9.168037114,6.763313892,4.748865673,85.6,,,21.9396,1.906404105,,145.6384339,6.823609494,0.735039023,77.27674532,90.37740213,3.15471351,58.95000076,9600403107.0,37364958856.0,4.223623511,3246.764342,2.740368085,36420678239.0,4.774746627,3164.712689,3.283647909,42.6,30.6,1.4,,3.0,7.8,7.7,19.1,34.5,24.7,20.1,0.3,0.95,5.4,14.77,4.26,1.07,3.1,92.85137,,3.519
BIH,2018,61.4,39.5,28.4,43.7,83.5,41.5,94.4,49.3,59.6,83.5,87.8,65.0,60.0,6.868956661,6.836963523,4.55712173,8.187994273,7.765026537,6.995644087,40.8,,,24.0596,7.103513434,,104.3091043,,,,,,81.36000061,7557459745.0,18154910825.0,3.827499205,5360.174439,5.105248784,18046746116.0,4.093553413,5328.239184,5.374577178,,,,0.0,,,,,,,,,,,,,,,,,18.4
BWA,2018,69.9,57.7,56.6,54.7,76.1,63.4,98.2,69.5,64.6,79.0,83.9,65.0,70.0,6.839745509,6.223058035,5.910814951,9.004914385,7.094153722,5.979850309,63.7,,,8.2057,3.569028607,,145.7132674,,,,,,,6962677798.0,15734874525.0,4.188093554,6843.805806,2.72012395,14373707118.0,3.702112667,6251.772779,2.240990344,,,,,,,,,,,,,,,,,,,,,19.681
BRA,2018,51.4,55.8,31.4,55.5,70.6,50.7,7.7,58.6,46.8,71.4,68.5,50.0,50.0,6.679817352,6.762221464,5.244911779,8.948439301,7.316787581,5.150124476,96.2,,,470.7686,2.284095173,,161.3738142,30.85787855,11.01244906,22.2433932,61.88220656,1.658394562,61.81000137,255977000000.0,1797740000000.0,1.783666762,8722.336304,1.090408604,1747750000000.0,0.848044432,8479.788443,0.161158886,53.9,42.5,1.0,26.6241067,4.5,11.1,10.9,26.7,,29.1,23.6,,,,,,,3.7,,,12.329
BRN,2018,64.2,56.6,45.4,57.1,85.6,57.7,20.0,79.9,88.9,75.1,89.1,65.0,50.0,7.189714286,6.666666667,5.265892148,8.498225063,7.693848455,7.845218521,100.0,,,8.0301,18.34151801,,99.4150543,,,,,,84.76025391,6627901811.0,12784137427.0,0.052371054,29200.19512,-1.098959078,12891869136.0,-4.640430933,29446.26467,-5.737759703,,,,0.201102067,,,,,,,,,,,,,,,93.14673,,8.7
BGR,2018,68.3,63.6,38.2,42.5,90.9,60.5,94.3,64.3,66.1,82.8,86.9,70.0,60.0,7.679274756,7.465097924,5.730436936,9.322100031,8.538953675,7.336095195,,,,46.2331,6.581189537,,110.9740586,,,,,,95.40313721,37869590633.0,55158665587.0,2.549464347,7851.725989,3.292633846,53111633500.0,1.334994567,7560.335056,2.06936288,41.3,32.6,1.9,8.103309945,0.8,2.8,2.3,8.0,22.6,17.2,14.1,0.23,4.36,0.72,12.4,21.28,3.07,1.8,,,5.211
