ISO3,Year,Heritage_Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,fraser_Score,Size_of_Government,Legal_System_and_Property,Sound_Money,Free_Trade,Regulation,Access to clean fuels and technologies for cooking (% of population),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),"Children in employment, work only (% of children in employment, ages 7-14)",Consumer price index (2010 = 100),Coverage of social insurance programs (% of population),Coverage of social insurance programs in poorest quintile (% of population),Coverage of social safety net programs (% of population),Coverage of social safety net programs in poorest quintile (% of population),Coverage of unemployment benefits and ALMP in poorest quintile (% of population),"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Exports of goods and services (constant 2015 US$),GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),GNI (constant 2015 US$),GNI growth (annual %),GNI per capita (constant 2015 US$),GNI per capita growth (annual %),Gini index,Income share held by highest 10%,Income share held by lowest 10%,Marine protected areas (% of territorial waters),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty gap at $6.85 a day (2017 PPP) (%),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at societal poverty line (% of population),Proportion of people living below 50 percent of median income (%),Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),Prosperity gap (average shortfall from a prosperity standard of $25/day),"School enrollment, primary (% net)","Survey mean consumption or income per capita, total population (2017 PPP $ per day)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
URY,2019,68.6,68.3,69.2,58.9,77.2,67.5,69.9,74.3,71.9,72.9,78.6,85.0,30.0,7.19977305,6.59189216,5.834687551,8.631027992,8.072730546,6.883083812,100.0,,0.33,7.138,2.101138406,,202.9219834,35.12639267,21.38973781,59.53537866,89.9856794,4.747270625,58.09000015,14169188360.0,60329073569.0,0.928351033,17758.43843,0.848967989,57265587552.0,1.690373379,16856.67209,1.610390983,39.7,29.7,2.3,0.71604,0.1,1.1,0.5,5.1,,21.0,17.4,,,,,,,1.5,,28.78,8.836
UZB,2019,53.3,49.8,25.2,34.3,91.3,67.4,98.7,72.5,58.7,58.9,62.6,10.0,10.0,,,,,,,81.1,,,125.2063,3.798193104,,283.7585419,,,,,,99.91999817,18116943635.0,107444000000.0,6.779923997,3259.369646,4.864861407,,,,,,,,,,,,,,,,,,,,,,,,,4.932
VUT,2019,56.4,65.9,51.9,36.4,97.3,54.1,15.3,52.4,58.8,75.0,64.4,65.0,40.0,,,,,,,7.25,,,0.247,0.845933866,,117.1296693,29.91771565,5.34001183,,,,38.48547745,517078049.2,864199385.2,3.241187655,2959.738977,0.862982514,1006676656.0,16.37152938,3447.699901,13.69086117,32.3,24.7,3.0,0.007637,10.6,32.5,34.9,76.1,15.9,32.3,12.8,,,,,,,6.5,,,5.444
VEN,2019,25.9,7.6,7.9,13.1,74.7,58.1,17.6,33.9,28,0.0,60.0,0.0,10.0,2.521650165,4.467617105,2.143776887,0.739068996,2.878191686,2.365206279,95.8,,,119.4988,4.129462828,,,,,,,,,,,,,,,,,,,,,3.485964,,,,,,,,,,,,,,,,,5.876
VNM,2019,55.3,49.8,34.0,40.3,79.7,74.1,40.7,63.5,62.8,68.9,79.2,30.0,40.0,6.170096154,6.533153905,4.809005583,6.786505872,6.503625394,6.236951599,94.2,,,338.946,3.488039818,,163.5169479,,,,,,65.33999634,270811000000.0,314948000000.0,7.359262701,3241.07649,6.324648866,298361000000.0,7.442523114,3070.388971,6.407106904,,,,0.560891,,,,,5.7,,,,,,,,,,,,1.681
YEM,2019,,19.6,20.3,22.2,,83.7,0.0,45.1,49.8,61.5,71.4,50.0,,5.308656716,8.25813567,2.361372714,8.216088003,4.58710111,3.103299201,52.6,,,12.4646,0.355001429,,,,,,,,,,,,1069.78649,,,,,,,,,0.467573,,,,,,,,,,,,,,,,,17.202
ZMB,2019,53.6,45.0,32.3,35.6,72.3,80.1,12.3,71.1,46,70.3,72.6,55.0,50.0,6.229902913,6.575121689,4.729939511,8.27185069,6.736218596,4.861586713,11.1,,,7.0267,0.379537707,,212.308759,,,,,,61.34531784,,24089861649.0,1.441306026,1301.18133,-1.518949511,,,,,,,,,,,,,,,,,,,,,,,,,5.542
ZWE,2019,40.4,29.7,15.8,24.8,62.3,74.5,23.7,33.4,43.3,72.4,70.0,25.0,10.0,4.208079096,6.275186288,3.389511851,1.33981652,5.504098507,4.538441131,30.3,,-7.32,11.1692,0.73138176,,414.6843089,4.80744791,1.800943971,31.09070206,58.95748901,,88.23421478,5363549560.0,20621078647.0,-6.332446407,1350.309851,-7.78558028,20145411279.0,-6.039717839,1319.162192,-7.497393027,50.3,,,,29.9,51.8,64.5,85.0,38.3,46.7,16.8,,,,,,,11.5,,4.5,7.373
AFG,2018,51.3,17.9,26.2,28.2,91.8,79.3,98.3,53.0,57.3,77.8,66.0,10.0,10.0,,,,,,,31.4,,,7.932,0.215877625,,146.5224819,,,,,,,,20323499020.0,1.189228129,553.1251517,-1.713742693,,,,,,,,,,,,,,,,,,,,,,,,,11.196
ALB,2018,64.5,54.1,39.9,25.4,85.1,72.7,67.5,69.1,50.4,82.4,87.8,70.0,70.0,7.649773031,7.720186913,5.20203651,9.681487394,8.518661648,7.131446637,80.7,,,5.3056,1.850978378,,117.3927402,44.45670779,49.4665673,5.986249409,13.34332833,,90.26885223,4072441574.0,12702504600.0,4.019345617,4431.555595,4.276311551,12691996006.0,3.654752555,4427.889435,3.91081781,30.1,22.7,3.2,2.718032979,0.5,4.6,2.7,18.2,23.0,18.6,11.8,,,,,,,2.6,94.52966,13.32,12.304
DZA,2018,44.7,27.8,29.0,35.2,74.0,45.9,19.2,68.1,48.7,69.9,63.5,25.0,30.0,4.799239374,4.768109709,3.939696228,7.627776355,2.669487278,4.979470381,99.7,,,174.8357,4.113293872,,148.4639947,,,,,,,38036753826.0,200496000000.0,1.4,4717.003589,-0.546019581,196103000000.0,0.188231089,4613.651669,-1.734532812,,,,0.085483103,,,,,,,,,,,,,,,97.63517,,12.137
AGO,2018,48.6,36.0,18.9,25.4,82.4,69.1,54.8,58.3,50.9,58.5,59.5,30.0,40.0,4.3409375,7.515858669,3.002891681,3.327473009,3.071843337,4.810034104,48.6,,,26.2589,0.839018754,,324.2180676,3.632174659,0.718997167,5.041990263,5.591602241,0.341497024,,25282932349.0,86872966033.0,-1.316361689,2775.746423,-4.665969917,79474274047.0,-3.495958412,2539.344999,-6.771584821,51.3,39.6,1.3,0.004929827,24.5,44.5,52.9,78.0,32.3,42.2,22.8,5.05,5.14,35.79,19.87,35.53,12.48,11.1,,,16.594
ARG,2018,52.3,40.8,32.6,44.5,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55.0,60.0,5.587719298,6.345696316,4.992800569,3.59781247,7.320572316,5.656350936,99.8,,,189.8389,4.251246258,,,33.90985047,22.26514728,24.9468053,60.08979351,1.205908542,,69255776018.0,583118000000.0,-2.617396463,13058.32854,-3.415536839,561485000000.0,-3.687890117,12573.88114,-4.477256808,41.7,30.1,1.7,3.796992436,1.0,3.4,2.9,10.4,32.0,23.9,20.1,,,,,,,2.0,,,9.22
ARM,2018,68.7,55.3,40.5,47.4,84.7,80.0,67.2,78.7,69.9,75.8,80.0,75.0,70.0,7.649786667,7.971218655,5.89090924,9.134527599,8.058113632,7.185423458,97.8,,1.26,5.9509,2.004344897,,127.337952,52.32998443,55.90557155,29.45044296,42.49129654,,99.48434448,4766591681.0,11958638938.0,5.2,4027.83393,5.568501179,12171108058.0,3.372668681,4099.396449,3.734768969,34.4,29.2,3.3,,2.1,14.4,9.4,48.9,,19.7,7.8,,,,,,,4.0,90.72273,8.79,18.966
AUS,2018,80.9,78.7,77.4,93.4,63.0,61.2,84.3,89.1,79.7,87.4,86.2,80.0,90.0,8.289612015,6.8184113,8.547954677,9.482829141,8.184328982,8.409579193,100.0,,-0.49,409.2067,16.39235952,,117.8980229,,,,,,93.44000244,316969000000.0,1461120000000.0,2.878469715,58530.78217,1.350866131,1430610000000.0,,57308.65722,1.329643219,34.3,26.2,2.8,40.5594116,0.4,0.6,0.7,1.0,,12.7,11.7,,,,,,,0.9,,64.61,5.3
AUT,2018,71.8,83.5,73.5,80.9,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90.0,70.0,7.869672346,5.501017202,8.506331405,9.131302725,8.635751582,7.590842901,100.0,,,67.1868,7.599868831,,116.277887,,,,,,98.93201447,230233000000.0,406236000000.0,2.484220867,45951.5819,1.986262691,402559000000.0,2.444416543,45535.70663,1.700795953,30.8,23.9,3.0,,0.5,0.7,0.7,1.2,13.3,11.9,10.2,,,,,,,1.0,,,4.933
AZE,2018,64.3,53.6,39.9,36.8,87.5,59.4,95.5,72.3,71.9,65.6,74.6,55.0,60.0,6.438898451,5.139679103,4.727148564,8.628502495,7.254055793,6.429156755,97.8,,,34.7619,3.497253609,,152.9,,,,,,95.48999786,,52306739843.0,1.5,5262.368705,0.624486168,,,,,,,,0.436929518,,,,,,,,,,,,,,,92.42467,,4.9
